#DAYS	13522_MAG	13522_ERR	99em_MAG	99em_ERR	98S_MAG	98S_ERR	88Z_MAG	87A_MAG	10jl_MAG	10jl_ERR	97cy_MAG
115.9	0	0	0	0	0	0	0	3.183	0	0	0
116	15.97	0.032	0	0	0	0	0	0	0	0	0
116.37	0	0	0	0	0	0	0	3.2	0	0	0
116.37	0	0	0	0	0	0	0	3.202	0	0	0
116.89	0	0	0	0	0	0	0	3.217	0	0	0
116.89	0	0	0	0	0	0	0	3.22	0	0	0
117.63	0	0	0	0	0	0	0	0	13.979	0.025	0
118	16.06	0.034	0	0	0	0	0	0	0	0	0
119.38	0	0	0	0	0	0	0	3.306	0	0	0
119.38	0	0	0	0	0	0	0	3.31	0	0	0
120	15.906	0.021	0	0	0	0	0	0	0	0	0
120.3	0	0	0	0	15.28	0.02	0	0	0	0	0
120.81	0	0	0	0	0	0	0	0	13.977	0.026	0
120.91	0	0	0	0	0	0	0	3.33	0	0	0
120.92	0	0	0	0	0	0	0	3.33	0	0	0
124.2	0	0	0	0	15.3	0.06	0	0	0	0	0
124.38	0	0	0	0	0	0	0	3.378	0	0	0
124.38	0	0	0	0	0	0	0	3.38	0	0	0
125.3	0	0	0	0	15.35	0.02	0	0	0	0	0
126.9	0	0	0	0	0	0	0	3.409	0	0	0
126.9	0	0	0	0	0	0	0	3.41	0	0	0
128.75	0	0	0	0	0	0	0	0	0	0	17.804
128.91	0	0	0	0	0	0	0	3.418	0	0	0
128.91	0	0	0	0	0	0	0	3.42	0	0	0
129.38	0	0	0	0	0	0	0	3.45	0	0	0
129.38	0	0	0	0	0	0	0	3.453	0	0	0
129.8	0	0	1.78198	0.01574	0	0	0	0	0	0	0
129.9	0	0	0	0	0	0	0	3.44	0	0	0
129.9	0	0	0	0	0	0	0	3.441	0	0	0
130	16.031	0.03	0	0	0	0	0	0	0	0	0
130.38	0	0	0	0	0	0	0	3.441	0	0	0
130.91	0	0	0	0	0	0	0	3.45	0	0	0
130.91	0	0	0	0	0	0	0	3.455	0	0	0
131.9	0	0	0	0	0	0	0	3.447	0	0	0
131.9	0	0	0	0	0	0	0	3.45	0	0	0
132.38	0	0	0	0	0	0	0	3.476	0	0	0
132.38	0	0	0	0	0	0	0	3.48	0	0	0
133.37	0	0	0	0	0	0	0	3.48	0	0	0
133.67	0	0	0	0	0	0	0	0	14.009	0.025	0
134.38	0	0	0	0	0	0	0	3.49	0	0	0
135.39	0	0	0	0	0	0	0	3.5	0	0	0
135.7	0	0	0	0	0	0	0	0	14.012	0.025	0
136	16.073	0.029	0	0	0	0	0	0	0	0	0
136.79	0	0	1.90542	0.01794	0	0	0	0	0	0	0
137	0	0	0	0	0	0	17.53	0	0	0	0
138.36	0	0	0	0	0	0	0	3.52	0	0	0
139	16.194	0.045	0	0	0	0	0	0	0	0	0
139.3	0	0	0	0	0	0	0	3.53	0	0	0
140.38	0	0	0	0	0	0	0	3.54	0	0	0
140.74	0	0	0	0	0	0	0	0	14.006	0.025	0
141.65	0	0	0	0	0	0	0	0	14.009	0.026	0
141.79	0	0	1.95374	0.02111	0	0	0	0	0	0	0
142	16.163	0.038	0	0	0	0	0	0	0	0	0
142.71	0	0	0	0	0	0	0	0	13.999	0.026	0
145	16.278	0.047	0	0	0	0	0	0	0	0	0
146.3	0	0	0	0	15.67	0.04	0	0	0	0	0
146.38	0	0	0	0	0	0	0	3.6	0	0	0
146.79	0	0	1.95467	0.04182	0	0	0	0	0	0	0
147	0	0	0	0	0	0	0	0	0	0	0
147.37	0	0	0	0	0	0	0	3.61	0	0	0
148.37	0	0	0	0	0	0	0	3.61	0	0	0
149.36	0	0	0	0	0	0	0	3.62	0	0	0
150.66	0	0	0	0	0	0	0	0	13.999	0.026	0
151.79	0	0	1.99122	0.03011	0	0	0	0	0	0	0
152.69	0	0	0	0	0	0	0	0	14.027	0.025	0
153.7	0	0	0	0	0	0	0	0	14.014	0.026	0
154.35	0	0	0	0	0	0	0	3.66	0	0	0
155.34	0	0	0	0	0	0	0	3.66	0	0	0
156.34	0	0	0	0	0	0	0	3.68	0	0	0
156.8	0	0	2.04833	0.02476	0	0	0	0	0	0	0
158.34	0	0	0	0	0	0	0	3.7	0	0	0
159.8	0	0	2.09762	0.02529	0	0	0	0	0	0	0
160	16.141	0.022	0	0	0	0	0	0	0	0	0
162	0	0	0	0	0	0	0	0	0	0	0
162.36	0	0	0	0	0	0	0	3.73	0	0	0
163	16.14	0.024	0	0	0	0	0	0	0	0	0
163.37	0	0	0	0	0	0	0	3.74	0	0	0
167.75	0	0	0	0	0	0	0	0	0	0	18.171
169.23	0	0	0	0	0	0	0	3.77	0	0	0
170.27	0	0	0	0	0	0	0	3.79	0	0	0
170.37	0	0	0	0	0	0	0	3.8	0	0	0
171.25	0	0	0	0	0	0	0	3.8	0	0	0
172.36	0	0	0	0	0	0	0	3.8	0	0	0
174.27	0	0	0	0	0	0	0	3.83	0	0	0
174.36	0	0	0	0	0	0	0	3.82	0	0	0
176.36	0	0	0	0	0	0	0	3.83	0	0	0
177.36	0	0	0	0	0	0	0	3.84	0	0	0
177.66	0	0	0	0	0	0	0	0	14.022	0.026	0
179.65	0	0	0	0	0	0	0	0	0	0	18.078
180.32	0	0	0	0	0	0	0	3.87	0	0	0
180.33	0	0	0	0	0	0	0	3.86	0	0	0
182.31	0	0	0	0	0	0	0	3.9	0	0	0
183.3	0	0	0	0	0	0	0	3.9	0	0	0
186.58	0	0	0	0	0	0	0	3.93	0	0	0
186.59	0	0	0	0	0	0	0	3.92	0	0	0
186.6	0	0	0	0	0	0	0	3.91	0	0	0
188.73	0	0	0	0	0	0	0	0	0	0	18.13
189.36	0	0	0	0	0	0	0	3.94	0	0	0
190.24	0	0	0	0	0	0	0	3.94	0	0	0
190.57	0	0	0	0	0	0	0	3.96	0	0	0
190.59	0	0	0	0	0	0	0	3.96	0	0	0
192.19	0	0	0	0	0	0	0	3.95	0	0	0
193.24	0	0	0	0	0	0	0	3.97	0	0	0
193.33	0	0	0	0	0	0	0	3.97	0	0	0
193.53	0	0	0	0	0	0	0	3.98	0	0	0
193.54	0	0	0	0	0	0	0	3.97	0	0	0
194.17	0	0	0	0	0	0	0	3.97	0	0	0
195.2	0	0	0	0	0	0	0	3.98	0	0	0
196.23	0	0	0	0	0	0	0	3.99	0	0	0
196.53	0	0	0	0	0	0	0	4.01	0	0	0
196.54	0	0	0	0	0	0	0	4.02	0	0	0
196.55	0	0	0	0	0	0	0	4.02	0	0	0
197.37	0	0	0	0	0	0	0	4.02	0	0	0
198.25	0	0	0	0	0	0	0	4.01	0	0	0
199.48	0	0	0	0	0	0	0	4.01	0	0	0
199.48	0	0	0	0	0	0	0	4.03	0	0	0
199.49	0	0	0	0	0	0	0	4.02	0	0	0
201.31	0	0	0	0	0	0	0	4.03	0	0	0
203.33	0	0	0	0	0	0	0	4.06	0	0	0
203.47	0	0	0	0	0	0	0	4.04	0	0	0
203.48	0	0	0	0	0	0	0	4.06	0	0	0
203.49	0	0	0	0	0	0	0	4.07	0	0	0
204.27	0	0	0	0	0	0	0	4.06	0	0	0
205.32	0	0	0	0	0	0	0	4.07	0	0	0
212.32	0	0	0	0	0	0	0	4.13	0	0	0
213.49	0	0	0	0	0	0	0	4.15	0	0	0
213.5	0	0	0	0	0	0	0	4.14	0	0	0
213.51	0	0	0	0	0	0	0	4.14	0	0	0
216.66	0	0	0	0	0	0	0	0	0	0	18.257
217.21	0	0	0	0	0	0	0	4.15	0	0	0
219.19	0	0	0	0	0	0	0	4.18	0	0	0
220.26	0	0	0	0	0	0	0	4.19	0	0	0
221.32	0	0	0	0	0	0	0	4.2	0	0	0
222.32	0	0	0	0	0	0	0	4.21	0	0	0
223.22	0	0	0	0	0	0	0	4.2	0	0	0
224.22	0	0	0	0	0	0	0	4.22	0	0	0
224.66	0	0	0	0	0	0	0	0	0	0	18.338
226.22	0	0	0	0	0	0	0	4.24	0	0	0
227.21	0	0	0	0	0	0	0	4.25	0	0	0
229.28	0	0	0	0	0	0	0	4.26	0	0	0
230.24	0	0	0	0	0	0	0	4.28	0	0	0
231.32	0	0	0	0	0	0	0	4.29	0	0	0
234.18	0	0	0	0	0	0	0	4.29	0	0	0
235.22	0	0	0	0	0	0	0	4.32	0	0	0
236.5	0	0	0	0	0	0	0	4.33	0	0	0
236.5	0	0	0	0	0	0	0	4.34	0	0	0
236.51	0	0	0	0	0	0	0	4.32	0	0	0
238.42	0	0	0	0	0	0	0	4.36	0	0	0
238.43	0	0	0	0	0	0	0	4.37	0	0	0
239.27	0	0	0	0	0	0	0	4.34	0	0	0
242.61	0	0	0	0	0	0	0	0	0	0	18.395
244.45	0	0	0	0	0	0	0	4.39	0	0	0
244.46	0	0	0	0	0	0	0	4.4	0	0	0
245.07	0	0	0	0	0	0	0	4.4	0	0	0
245.51	0	0	0	0	0	0	0	4.41	0	0	0
245.53	0	0	0	0	0	0	0	4.41	0	0	0
247.21	0	0	0	0	0	0	0	4.42	0	0	0
248.07	0	0	0	0	0	0	0	4.42	0	0	0
249.17	0	0	0	0	0	0	0	4.44	0	0	0
250.18	0	0	0	0	0	0	0	4.44	0	0	0
251.14	0	0	0	0	0	0	0	4.45	0	0	0
252.14	0	0	0	0	0	0	0	4.46	0	0	0
252.43	0	0	0	0	0	0	0	4.47	0	0	0
252.45	0	0	0	0	0	0	0	4.46	0	0	0
252.46	0	0	0	0	0	0	0	4.47	0	0	0
253.21	0	0	0	0	0	0	0	4.47	0	0	0
254.14	0	0	0	0	0	0	0	4.48	0	0	0
255.07	0	0	0	0	0	0	0	4.49	0	0	0
255.49	0	0	0	0	0	0	0	4.53	0	0	0
255.5	0	0	0	0	0	0	0	4.49	0	0	0
256.28	0	0	0	0	0	0	0	4.49	0	0	0
257.18	0	0	0	0	0	0	0	4.48	0	0	0
258.21	0	0	0	0	0	0	0	4.49	0	0	0
259.05	0	0	0	0	0	0	0	4.52	0	0	0
259.32	0	0	0	0	0	0	0	4.53	0	0	0
259.33	0	0	0	0	0	0	0	4.53	0	0	0
259.34	0	0	0	0	0	0	0	4.52	0	0	0
261.99	0	0	0	0	0	0	0	4.55	0	0	0
262.27	0	0	0	0	0	0	0	4.54	0	0	0
262.99	0	0	0	0	0	0	0	4.54	0	0	0
263.3	0	0	0	0	0	0	0	4.54	0	0	0
264.07	0	0	0	0	0	0	0	4.57	0	0	0
265.03	0	0	0	0	0	0	0	4.57	0	0	0
266.38	0	0	0	0	0	0	0	4.59	0	0	0
266.39	0	0	0	0	0	0	0	4.59	0	0	0
266.41	0	0	0	0	0	0	0	4.59	0	0	0
267.13	0	0	0	0	0	0	0	4.59	0	0	0
267.97	0	0	0	0	0	0	0	4.57	0	0	0
269.09	0	0	0	0	0	0	0	4.6	0	0	0
270.17	0	0	0	0	0	0	0	4.62	0	0	0
